Timedrive06.td,corrected
13.0,0.2716050099999999
13.1,0.2773380099999999
13.2,0.2870710099999999
13.3,0.2912710099999999
13.4,0.2838710099999999
13.5,0.28167100999999983
13.6,0.27527100999999987
13.7,0.2700050099999999
13.8,0.27847100999999985
13.9,0.2868710099999999
14.0,0.2798710099999999
14.1,0.29913800999999984
14.2,0.29913800999999984
14.3,0.2880710099999999
14.4,0.27413800999999993
14.5,0.2635380099999999
14.6,0.25453800999999987
14.7,0.25653800999999987
14.8,0.25547100999999983
14.9,0.25927100999999986
15.0,0.2678050099999999
15.1,0.2593380099999999
15.2,0.26247100999999984
15.3,0.2838050099999999
15.4,0.2945380099999999
15.5,0.2935380099999999
15.6,0.29993800999999987
15.7,0.3164710099999999
15.8,0.3382710099999999
15.9,0.3596710099999999
16.0,0.44713800999999986
16.1,0.6210050099999999
16.2,0.7970710099999998
16.3,1.1380050099999999
16.4,1.93533801
16.5,2.7859380099999997
16.6,3.46220501
16.7,4.31387101
16.8,5.0380710099999995
16.9,5.7270710099999995
17.0,6.44487101
17.1,7.17913801
17.2,7.93273801
17.3,8.92900401
17.4,10.12360501
17.5,11.27127101
17.6,12.30800501
17.7,13.31007101
17.8,14.15640501
17.9,14.57613801
18.0,14.92553801
18.1,15.35640501
18.2,15.430605009999999
18.3,15.59700501
18.4,15.79660501
18.5,15.959205009999998
18.6,16.06753801
18.7,16.152805009999998
18.8,15.96073801
18.9,15.57300501
19.0,15.13780501
19.1,14.67173801
19.2,14.21360501
19.3,13.381005009999999
19.4,12.40760501
19.5,11.41233801
19.6,10.504605009999999
19.7,9.71680501
19.8,8.928604009999999
19.9,8.13867101
20.0,7.38300501
20.1,6.82893801
20.2,6.75220501
20.3,6.7437380099999995
20.4,6.90007101
20.5,7.12040401
20.6,7.3401380099999995
20.7,7.38653801
20.8,7.5428050099999995
20.9,7.684071009999999
21.0,7.842005009999999
21.1,8.28047101
21.2,9.13553801
21.3,10.149405009999999
21.4,11.14513801
21.5,12.12440501
21.6,12.942938009999999
21.7,13.26553801
21.8,13.57913801
21.9,13.51127101
22.0,13.21847101
22.1,13.007738009999999
22.2,12.76513801
22.3,12.51287101
22.4,12.260605009999999
22.5,11.95927101
22.6,11.42807101
22.7,10.70220501
22.8,10.18227101
22.9,9.84953801
23.0,9.70440501
23.1,9.54560501
23.2,9.29227101
23.3,8.697004009999999
23.4,8.08747101
23.5,7.73813801
23.6,7.75480501
23.7,8.24600501
23.8,9.09567101
23.9,10.03653801
24.0,11.02260501
24.1,12.003938009999999
24.2,12.83960501
24.3,13.304138009999999
24.4,13.603738009999999
24.5,13.72320501
24.6,13.77327101
24.7,13.65220501
24.8,13.71940501
24.9,13.940671009999999
25.0,14.019005009999999
25.1,13.63220501
25.2,12.95760501
25.3,12.292071009999999
25.4,11.848338009999999
25.5,10.94433801
25.6,10.01000501
25.7,9.08847101
25.8,8.18333801
25.9,7.2970050099999995
26.0,6.41167101
26.1,5.59247101
26.2,5.04907101
26.3,4.64213801
26.4,4.30467101
26.5,4.030471009999999
26.6,3.8412050099999995
26.7,3.68373801
26.8,3.42560501
26.9,2.9754050100000002
27.0,3.00480501
27.1,3.0452710099999996
27.2,3.03447101
27.3,3.0324050099999997
27.4,3.03027101
27.5,3.03027101
27.6,3.02700501
